titulo,page,col,texto
2016,1,0,90210
2016,1,1,Bull's eye
2016,1,2,Elephant
2016,1,3,GP
2016,1,4,Majestic
2016,1,5,Nelson Royal
2016,1,6,Rey
2016,1,7,STERLING EXVCLUSIVE EDITION
2016,1,0,Ace Club
2016,1,1,Burton
2016,1,2,Elite
2016,1,3,GT One
2016,1,4,Makro
2016,1,5,Nise
2016,1,6,Richman Royal
2016,1,7,Strand
2016,1,0,Admiral
2016,1,1,Caesar Park
2016,1,2,Elite Rojo
2016,1,3,Harvest
2016,1,4,Malverde
2016,1,5,Open
2016,1,6,Rock
2016,1,7,SunCity Menthol
2016,1,0,After hours
2016,1,1,Capital
2016,1,2,Elite Verde
2016,1,3,Hatemen
2016,1,4,Manitou
2016,1,5,Outlaw
2016,1,6,Roman
2016,1,7,Supreme
2016,1,0,Alamo
2016,1,1,Capri
2016,1,2,Empire
2016,1,3,Hobby
2016,1,4,Marathon
2016,1,5,Pacific
2016,1,6,Rose
2016,1,7,Swift
2016,1,0,Amsterdam
2016,1,1,Capri Magenta
2016,1,2,EMPIRE FULL FLAVOR
2016,1,3,Hollywood
2016,1,4,Marble
2016,1,5,Palermo
2016,1,6,Royal
2016,1,7,Tiger
2016,1,0,Anchor
2016,1,1,Capri Menthol
2016,1,2,Esparta
2016,1,3,Horseman
2016,1,4,Maria y Juana
2016,1,5,Paradize
2016,1,6,Royal Club
2016,1,7,Tijuana
2016,2,0,Aristocrat
2016,2,1,Casino Royale
2016,2,2,Euro
2016,2,3,Horseman Menthol
2016,2,4,Maribon
2016,2,5,Park Gold
2016,2,6,Royal Trident
2016,2,7,Top 20
2016,2,0,Armada
2016,2,1,Champ
2016,2,2,Evidence
2016,2,3,Ibiza
2016,2,4,Marley
2016,2,5,Park Slims
2016,2,6,Royals Maiwand
2016,2,7,Trident
2016,2,0,Ashford Blue
2016,2,1,Chess
2016,2,2,Fama
2016,2,3,Jaipur
2016,2,4,Marley King
2016,2,5,Parliament
2016,2,6,Rube Club
2016,2,7,Trotter
2016,2,0,AX Full Flavor
2016,2,1,Chiapas
2016,2,2,Farstar
2016,2,3,Jaipur Amarillo
2016,2,4,Marshal
2016,2,5,Patrol
2016,2,6,Ruby
2016,2,7,Troy
2016,2,0,B&B ( Bulls & Bears)
2016,2,1,CHICAGO
2016,2,2,Flash
2016,2,3,JAIPUR CLASSIC
2016,2,4,Marshall
2016,2,5,Pilotos
2016,2,6,Ruby Super Slim
2016,2,7,U.S. Tobacco de México S.A. *
2016,2,0,B&J
2016,2,1,Cig One
2016,2,2,Forastero
2016,2,3,Jaipur Rojo
2016,2,4,Mary Pole
2016,2,5,Pitbull
2016,2,6,S&L
2016,2,7,U5
2016,2,0,Bentley
2016,2,1,Compass
2016,2,2,Fox
2016,2,3,Jaisalmer
2016,2,4,Max X
2016,2,5,Platinum
2016,2,6,Sabre Lights
2016,2,7,Ultima
2016,2,0,Biasha Nise
2016,2,1,D&J
2016,2,2,Fugitivo
2016,2,3,Jaisalmer Amarillo
2016,2,4,May pole
2016,2,5,Police
2016,2,6,Safari
2016,2,7,USA Gold
2016,2,0,Big Chief
2016,2,1,D&Y
2016,2,2,FX
2016,2,3,Jaisalmer Menthol
2016,2,4,Maypole
2016,2,5,Police Red
2016,2,6,San Marino
2016,2,7,USA Platinum
2016,2,0,Birmingham
2016,2,1,Dark
2016,2,2,GD
2016,2,3,Jet
2016,2,4,MAYPOLE AMERICAN BLEND
2016,2,5,Polo
2016,2,6,San Marino Rojo
2016,2,7,V8
2016,2,0,Black and White
2016,2,1,Dart
2016,2,2,Gem
2016,2,3,John Black
2016,2,4,Medusa
2016,2,5,Polo Gold
2016,2,6,San Marino Verde
2016,2,7,Valentine
2016,2,0,Black Horse Stallion
2016,2,1,DART PREMIUN BLEND
2016,2,2,Gem Dorado
2016,2,3,Joker
2016,2,4,Merce
2016,2,5,Popular
2016,2,6,Sandía
2016,2,7,Valentino
2016,2,0,Black Jack
2016,2,1,Deal
2016,2,2,Gem Negro
2016,2,3,Juditas
2016,2,4,Meridian
2016,2,5,Poseidon
2016,2,6,Selva negra
2016,2,7,Vantage
2016,2,0,Blend Type Box
2016,2,1,Denim
2016,2,2,General
2016,2,3,Kalimaya
2016,2,4,MERIDIAN SPECIAL BREATH
2016,2,5,Premium Blend
2016,2,6,Shark
2016,2,7,Vantage Silver
2016,2,0,Blitz
2016,2,1,Domino
2016,2,2,Gentori
2016,2,3,Kans
2016,2,4,Mex
2016,2,5,President
2016,2,6,Sheriff
2016,2,7,Vaquero
2016,2,0,Blue River
2016,2,1,Double Diamond
2016,2,2,Glory
2016,2,3,Keris
2016,2,4,Miami
2016,2,5,Prestige
2016,2,6,Siempre Menthol
2016,2,7,Venice
2016,2,0,BLUE RIVER EXTRA SPECIAL
2016,2,1,Double Happiness
2016,2,2,Goal
2016,2,3,Keys
2016,2,4,Millionaire
2016,2,5,Pride
2016,2,6,Silver
2016,2,7,VIP
2016,3,0,Boaz
2016,3,1,Dragon
2016,3,2,Godmans
2016,3,3,Kings
2016,3,4,Minister
2016,3,5,Pyramid
2016,3,6,Silver Elephant
2016,3,7,Walden
2016,3,0,Brass
2016,3,1,Dunston
2016,3,2,Gold Seal
2016,3,3,Lakes
2016,3,4,Mister
2016,3,5,Racer
2016,3,6,Single Stick
2016,3,7,WhiteStone
2016,3,0,Bright
2016,3,1,DY Classic
2016,3,2,Golden
2016,3,3,Laredo (Producto importado y sin pictogramas)
2016,3,4,Miura
2016,3,5,Ranger
2016,3,6,Skydancer
2016,3,7,Win
2016,3,0,Bright Menthol
2016,3,1,Easy
2016,3,2,Golden Bridge
2016,3,3,Legend
2016,3,4,Modern
2016,3,5,Razor
2016,3,6,Smokers Leaf
2016,3,7,XO
2016,3,0,Bright Mentol
2016,3,1,Eiffel
2016,3,2,Golden Deer
2016,3,3,Leone
2016,3,4,Monteral
2016,3,5,Razor (azul)
2016,3,6,Soberanos
2016,3,7,
2016,3,0,Bronco
2016,3,1,El Capo
2016,3,2,Golden Mamba
2016,3,3,LG Premium
2016,3,4,MTH
2016,3,5,Red Smoke
2016,3,6,Speed
2016,3,7,
2016,3,0,Buffalo
2016,3,1,El Elegante
2016,3,2,Goldman
2016,3,3,M1 Classic
2016,3,4,Native
2016,3,5,Reef
2016,3,6,Speedway
2016,3,7,
2016,3,0,Bulls
2016,3,1,El Rey
2016,3,2,Goldmans
2016,3,3,MACPOLE
2016,3,4,Navy
2016,3,5,Regular
2016,3,6,Stallion
2016,3,7,
2017,2,0,90210
2017,2,1,Bull's eye
2017,2,2,Elephant
2017,2,3,GP
2017,2,4,Majestic
2017,2,5,Nelson Royal
2017,2,6,Rey
2017,2,7,STERLING EXVCLUSIVE EDITION
2017,2,0,Ace Club
2017,2,1,Burton
2017,2,2,Elite
2017,2,3,GT One
2017,2,4,Makro
2017,2,5,Nise
2017,2,6,Richman Royal
2017,2,7,Strand
2017,2,0,Admiral
2017,2,1,Caesar Park
2017,2,2,Elite Rojo
2017,2,3,Harvest
2017,2,4,Malverde
2017,2,5,Open
2017,2,6,Rock
2017,2,7,SunCity Menthol
2017,2,0,After hours
2017,2,1,Capital
2017,2,2,Elite Verde
2017,2,3,Hatemen
2017,2,4,Manitou
2017,2,5,Outlaw
2017,2,6,Roman
2017,2,7,Supreme
2017,2,0,Alamo
2017,2,1,Capri
2017,2,2,Empire
2017,2,3,Hobby
2017,2,4,Marathon
2017,2,5,Pacific
2017,2,6,Rose
2017,2,7,Swift
2017,2,0,Amsterdam
2017,2,1,Capri Magenta
2017,2,2,EMPIRE FULL FLAVOR
2017,2,3,Hollywood
2017,2,4,Marble
2017,2,5,Palermo
2017,2,6,Royal
2017,2,7,Tiger
2017,2,0,Anchor
2017,2,1,Capri Menthol
2017,2,2,Esparta
2017,2,3,Horseman
2017,2,4,Maria y Juana
2017,2,5,Paradize
2017,2,6,Royal Club
2017,2,7,Tijuana
2017,2,0,Aristocrat
2017,2,1,Casino Royale
2017,2,2,Euro
2017,2,3,Horseman Menthol
2017,2,4,Maribon
2017,2,5,Park Gold
2017,2,6,Royal Trident
2017,2,7,Top 20
2017,2,0,Armada
2017,2,1,Champ
2017,2,2,Evidence
2017,2,3,Ibiza
2017,2,4,Marley
2017,2,5,Park Slims
2017,2,6,Royals Maiwand
2017,2,7,Trident
2017,2,0,Ashford Blue
2017,2,1,Chess
2017,2,2,Fama
2017,2,3,Jaipur
2017,2,4,Marley King
2017,2,5,Parliament
2017,2,6,Rube Club
2017,2,7,Trotter
2017,2,0,AX Full Flavor
2017,2,1,Chiapas
2017,2,2,Farstar
2017,2,3,Jaipur Amarillo
2017,2,4,Marshal
2017,2,5,Patrol
2017,2,6,Ruby
2017,2,7,Troy
2017,2,0,B&B ( Bulls & Bears)
2017,2,1,CHICAGO
2017,2,2,Flash
2017,2,3,JAIPUR CLASSIC
2017,2,4,Marshall
2017,2,5,Pilotos
2017,2,6,Ruby Super Slim
2017,2,7,U.S. Tobacco de México S.A. ***
2017,2,0,B&J
2017,2,1,Cig One
2017,2,2,Forastero
2017,2,3,Jaipur Rojo
2017,2,4,Mary Pole
2017,2,5,Pitbull
2017,2,6,S&L
2017,2,7,U5
2017,2,0,Bentley
2017,2,1,Compass
2017,2,2,Fox
2017,2,3,Jaisalmer
2017,2,4,Max X
2017,2,5,Platinum
2017,2,6,Sabre Lights
2017,2,7,Ultima
2017,2,0,Biasha Nise
2017,2,1,D&J
2017,2,2,Fugitivo
2017,2,3,Jaisalmer Amarillo
2017,2,4,May pole
2017,2,5,Police
2017,2,6,Safari
2017,2,7,USA Gold
2017,2,0,Big Chief
2017,2,1,D&Y
2017,2,2,FX
2017,2,3,Jaisalmer Menthol
2017,2,4,Maypole
2017,2,5,Police Red
2017,2,6,San Marino
2017,2,7,USA Platinum
2017,2,0,Birmingham
2017,2,1,Dark
2017,2,2,GD
2017,2,3,Jet
2017,2,4,MAYPOLE AMERICAN BLEND
2017,2,5,Polo
2017,2,6,San Marino Rojo
2017,2,7,V8
2017,3,0,Black and White
2017,3,1,Dart
2017,3,2,Gem
2017,3,3,John Black
2017,3,4,Medusa
2017,3,5,Polo Gold
2017,3,6,San Marino Verde
2017,3,7,Valentine
2017,3,0,Black Horse Stallion
2017,3,1,DART PREMIUN BLEND
2017,3,2,Gem Dorado
2017,3,3,Joker
2017,3,4,Merce
2017,3,5,Popular
2017,3,6,Sandía
2017,3,7,Valentino
2017,3,0,Black Jack
2017,3,1,Deal
2017,3,2,Gem Negro
2017,3,3,Juditas
2017,3,4,Meridian
2017,3,5,Poseidon
2017,3,6,Selva negra
2017,3,7,Vantage
2017,3,0,Blend Type Box
2017,3,1,Denim
2017,3,2,General
2017,3,3,Kalimaya
2017,3,4,MERIDIAN SPECIAL BREATH
2017,3,5,Premium Blend
2017,3,6,Shark
2017,3,7,Vantage Silver
2017,3,0,Blitz
2017,3,1,Domino
2017,3,2,Gentori
2017,3,3,Kans
2017,3,4,Mex
2017,3,5,President
2017,3,6,Sheriff
2017,3,7,Vaquero
2017,3,0,Blue River
2017,3,1,Double Diamond
2017,3,2,Glory
2017,3,3,Keris
2017,3,4,Miami
2017,3,5,Prestige
2017,3,6,Siempre Menthol
2017,3,7,Venice
2017,3,0,BLUE RIVER EXTRA SPECIAL
2017,3,1,Double Happiness
2017,3,2,Goal
2017,3,3,Keys
2017,3,4,Millionaire
2017,3,5,Pride
2017,3,6,Silver
2017,3,7,VIP
2017,3,0,Boaz
2017,3,1,Dragon
2017,3,2,Godmans
2017,3,3,Kings
2017,3,4,Minister
2017,3,5,Pyramid
2017,3,6,Silver Elephant
2017,3,7,Walden
2017,3,0,Brass
2017,3,1,Dunston
2017,3,2,Gold Seal
2017,3,3,Lakes
2017,3,4,Mister
2017,3,5,Racer
2017,3,6,Single Stick
2017,3,7,WhiteStone
2017,3,0,Bright
2017,3,1,DY Classic
2017,3,2,Golden
2017,3,3,Laredo (Producto importado y sin pictogramas)
2017,3,4,Miura
2017,3,5,Ranger
2017,3,6,Skydancer
2017,3,7,Win
2017,3,0,Bright Menthol
2017,3,1,Easy
2017,3,2,Golden Bridge
2017,3,3,Legend
2017,3,4,Modern
2017,3,5,Razor
2017,3,6,Smokers Leaf
2017,3,7,XO
2017,3,0,Bright Mentol
2017,3,1,Eiffel
2017,3,2,Golden Deer
2017,3,3,Leone
2017,3,4,Monteral
2017,3,5,Razor (azul)
2017,3,6,Soberanos
2017,3,7,
2017,3,0,Bronco
2017,3,1,El Capo
2017,3,2,Golden Mamba
2017,3,3,LG Premium
2017,3,4,MTH
2017,3,5,Red Smoke
2017,3,6,Speed
2017,3,7,
2017,3,0,Buffalo
2017,3,1,El Elegante
2017,3,2,Goldman
2017,3,3,M1 Classic
2017,3,4,Native
2017,3,5,Reef
2017,3,6,Speedway
2017,3,7,
2017,3,0,Bulls
2017,3,1,El Rey
2017,3,2,Goldmans
2017,3,3,MACPOLE
2017,3,4,Navy
2017,3,5,Regular
2017,3,6,Stallion
2017,3,7,
